Date,Year,Month,Day,Cat,Units,MeanTemp,Day_Of_the_Week,Week_of_the_Month,Week_of_the_Year,IsWeekDay,Winter_State,Holidays,Event_SchoolHoliday,Event_ChrismasandNewYear
2018-01-01,2018,1,1,Cold & Allergy Medications                        ,13,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Cold & Allergy Medications                        ,72,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Cold & Allergy Medications                        ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Cold & Allergy Medications                        ,7,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Cold & Allergy Medications                        ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Cold & Allergy Medications                        ,26,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Eye & Ear Care                                    ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Eye & Ear Care                                    ,13,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Internal Remedies                                 ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Internal Remedies                                 ,10,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Internal Remedies                                 ,7,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Internal Remedies                                 ,30,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Pain & Analgesic                                  ,41,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Pain & Analgesic                                  ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Pain & Analgesic                                  ,7,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Pain & Analgesic                                  ,7,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Vitamins/Herbals/Natural Supplements              ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Vitamins/Herbals/Natural Supplements              ,3,-25.8,Monday,1,1,1,3,1,3,0
2018-01-01,2018,1,1,Vitamins/Herbals/Natural Supplements              ,10,-25.8,Monday,1,1,1,3,1,3,0
2018-01-02,2018,1,2,Cold & Allergy Medications                        ,33,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Cold & Allergy Medications                        ,187,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Cold & Allergy Medications                        ,13,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Cold & Allergy Medications                        ,25,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Cold & Allergy Medications                        ,33,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Cold & Allergy Medications                        ,144,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Eye & Ear Care                                    ,10,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Eye & Ear Care                                    ,3,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Eye & Ear Care                                    ,7,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Eye & Ear Care                                    ,20,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Internal Remedies                                 ,13,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Internal Remedies                                 ,7,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Internal Remedies                                 ,33,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Internal Remedies                                 ,52,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,3,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,115,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,3,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,3,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,3,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,10,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Pain & Analgesic                                  ,3,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Vitamins/Herbals/Natural Supplements              ,7,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Vitamins/Herbals/Natural Supplements              ,10,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Vitamins/Herbals/Natural Supplements              ,13,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-02,2018,1,2,Vitamins/Herbals/Natural Supplements              ,59,-13.1,Tuesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Cold & Allergy Medications                        ,44,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Cold & Allergy Medications                        ,157,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Cold & Allergy Medications                        ,7,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Cold & Allergy Medications                        ,10,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Cold & Allergy Medications                        ,23,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Cold & Allergy Medications                        ,190,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Eye & Ear Care                                    ,7,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Eye & Ear Care                                    ,13,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,3,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,7,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,7,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,10,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,16,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,3,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Internal Remedies                                 ,16,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Pain & Analgesic                                  ,7,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Pain & Analgesic                                  ,131,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Pain & Analgesic                                  ,3,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Pain & Analgesic                                  ,13,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Pain & Analgesic                                  ,10,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Pain & Analgesic                                  ,10,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Vitamins/Herbals/Natural Supplements              ,13,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Vitamins/Herbals/Natural Supplements              ,7,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Vitamins/Herbals/Natural Supplements              ,13,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-03,2018,1,3,Vitamins/Herbals/Natural Supplements              ,56,-11.1,Wednesday,1,1,1,3,0,3,0
2018-01-04,2018,1,4,Cold & Allergy Medications                        ,33,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Cold & Allergy Medications                        ,177,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Cold & Allergy Medications                        ,13,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Cold & Allergy Medications                        ,30,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Cold & Allergy Medications                        ,20,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Cold & Allergy Medications                        ,175,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Eye & Ear Care                                    ,10,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Eye & Ear Care                                    ,13,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Internal Remedies                                 ,26,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Internal Remedies                                 ,3,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Internal Remedies                                 ,26,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Internal Remedies                                 ,43,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Internal Remedies                                 ,56,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,11,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,118,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,7,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,3,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,3,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,7,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Pain & Analgesic                                  ,7,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Vitamins/Herbals/Natural Supplements              ,15,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Vitamins/Herbals/Natural Supplements              ,10,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Vitamins/Herbals/Natural Supplements              ,7,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-04,2018,1,4,Vitamins/Herbals/Natural Supplements              ,23,-10.6,Thursday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Cold & Allergy Medications                        ,13,-11.2,Friday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Cold & Allergy Medications                        ,151,-11.2,Friday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Cold & Allergy Medications                        ,10,-11.2,Friday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Cold & Allergy Medications                        ,10,-11.2,Friday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Cold & Allergy Medications                        ,28,-11.2,Friday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Cold & Allergy Medications                        ,156,-11.2,Friday,1,1,1,3,0,0,0
2018-01-05,2018,1,5,Eye & Ear Care                                    ,3,-11.2,Friday,1,1,1,3,0,0,0
